INFO: STARTING!
INFO: Log parameter values verbosely: [0]
INFO: Min num runs: [10]
INFO: Num threads: [1]
INFO: Graph: [/home/jovyan/tflite_models/InceptionV3_quant.tflite]
INFO: Signature to run: []
INFO: Enable op profiling: [1]
INFO: #threads used for CPU inference: [1]
INFO: Loaded model /home/jovyan/tflite_models/InceptionV3_quant.tflite
INFO: The input model file size (MB): 24.1382
INFO: Initialized session in 70.844ms.
INFO: Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
INFO: count=5 first=109544 curr=109403 min=109062 max=109544 avg=109348 std=181 p5=109062 median=109403 p95=109544

INFO: Running benchmark for at least 10 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
INFO: count=10 first=109497 curr=109252 min=108767 max=110305 avg=109216 std=415 p5=108767 median=109147 p95=110305

INFO: Inference timings in us: Init: 70844, First inference: 109544, Warmup (avg): 109348, Inference (avg): 109216
INFO: Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
INFO: Memory footprint delta from the start of the tool (MB): init=64.3555 overall=66.8555
INFO: Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                  Convert (NC, F32, QD8)	    0.028	    0.029	  0.027%	 35.105%	     0.000	        1	Delegate/Convert (NC, F32, QD8):34
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    1.393	    1.404	  1.288%	 36.393%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:35
	                  Convert (NC, F32, QD8)	    0.310	    0.325	  0.298%	 36.691%	     0.000	        1	Delegate/Convert (NC, F32, QD8):36
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.316	    0.317	  0.291%	 36.982%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:37
	                  Convert (NC, F32, QD8)	    0.040	    0.040	  0.037%	 37.019%	     0.000	        1	Delegate/Convert (NC, F32, QD8):38
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    1.012	    1.018	  0.934%	 37.952%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:39
	                  Convert (NC, F32, QD8)	    0.067	    0.065	  0.060%	 38.012%	     0.000	        1	Delegate/Convert (NC, F32, QD8):40
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    1.474	    1.478	  1.356%	 39.369%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:41
	                          Copy (NC, X32)	    0.528	    0.530	  0.487%	 39.855%	     0.000	        1	Delegate/Copy (NC, X32):42
	Average Pooling (NHWC, F32) Pixelwise Average Pooling	    0.422	    0.426	  0.391%	 40.246%	     0.000	        1	Delegate/Average Pooling (NHWC, F32) Pixelwise Average Pooling:43
	                  Convert (NC, F32, QD8)	    0.385	    0.368	  0.338%	 40.584%	     0.000	        1	Delegate/Convert (NC, F32, QD8):44
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.348	    0.349	  0.320%	 40.904%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:45
	                  Convert (NC, F32, QD8)	    0.347	    0.354	  0.325%	 41.229%	     0.000	        1	Delegate/Convert (NC, F32, QD8):46
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.347	    0.349	  0.320%	 41.549%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:47
	                  Convert (NC, F32, QD8)	    0.278	    0.291	  0.267%	 41.816%	     0.000	        1	Delegate/Convert (NC, F32, QD8):48
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.258	    0.260	  0.238%	 42.055%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:49
	                  Convert (NC, F32, QD8)	    0.028	    0.029	  0.027%	 42.081%	     0.000	        1	Delegate/Convert (NC, F32, QD8):50
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    1.399	    1.411	  1.294%	 43.376%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:51
	                  Convert (NC, F32, QD8)	    0.290	    0.307	  0.282%	 43.658%	     0.000	        1	Delegate/Convert (NC, F32, QD8):52
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.344	    0.346	  0.318%	 43.976%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:53
	                  Convert (NC, F32, QD8)	    0.049	    0.041	  0.038%	 44.014%	     0.000	        1	Delegate/Convert (NC, F32, QD8):54
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    1.008	    1.012	  0.928%	 44.942%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:55
	                  Convert (NC, F32, QD8)	    0.063	    0.063	  0.058%	 45.000%	     0.000	        1	Delegate/Convert (NC, F32, QD8):56
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    1.467	    1.479	  1.357%	 46.357%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:57
	                          Copy (NC, X32)	    0.528	    0.545	  0.500%	 46.857%	     0.000	        1	Delegate/Copy (NC, X32):58
	                  Convert (NC, F32, QD8)	    0.215	    0.216	  0.198%	 47.055%	     0.000	        1	Delegate/Convert (NC, F32, QD8):59
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    4.180	    4.196	  3.850%	 50.905%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:60
	                  Convert (NC, F32, QD8)	    0.415	    0.409	  0.375%	 51.280%	     0.000	        1	Delegate/Convert (NC, F32, QD8):61
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.355	    0.348	  0.319%	 51.599%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:62
	                  Convert (NC, F32, QD8)	    0.038	    0.038	  0.035%	 51.634%	     0.000	        1	Delegate/Convert (NC, F32, QD8):63
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    1.011	    1.012	  0.928%	 52.563%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:64
	                  Convert (NC, F32, QD8)	    0.062	    0.065	  0.060%	 52.623%	     0.000	        1	Delegate/Convert (NC, F32, QD8):65
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.350	    0.351	  0.322%	 52.944%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:66
	                 Max Pooling (NHWC, F32)	    0.181	    0.188	  0.172%	 53.116%	     0.000	        1	Delegate/Max Pooling (NHWC, F32):67
	                          Copy (NC, X32)	    0.186	    0.183	  0.168%	 53.284%	     0.000	        1	Delegate/Copy (NC, X32):68
	Average Pooling (NHWC, F32) Pixelwise Average Pooling	    0.202	    0.202	  0.185%	 53.469%	     0.000	        1	Delegate/Average Pooling (NHWC, F32) Pixelwise Average Pooling:69
	                  Convert (NC, F32, QD8)	    0.132	    0.133	  0.122%	 53.591%	     0.000	        1	Delegate/Convert (NC, F32, QD8):70
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.619	    0.623	  0.571%	 54.163%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:71
	                  Convert (NC, F32, QD8)	    0.159	    0.157	  0.144%	 54.306%	     0.000	        1	Delegate/Convert (NC, F32, QD8):72
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.616	    0.619	  0.568%	 54.874%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:73
	                  Convert (NC, F32, QD8)	    0.148	    0.141	  0.130%	 55.004%	     0.000	        1	Delegate/Convert (NC, F32, QD8):74
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.426	    0.416	  0.382%	 55.385%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:75
	                  Convert (NC, F32, QD8)	    0.018	    0.018	  0.017%	 55.402%	     0.000	        1	Delegate/Convert (NC, F32, QD8):76
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.477	    0.477	  0.437%	 55.839%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:77
	                  Convert (NC, F32, QD8)	    0.018	    0.018	  0.017%	 55.856%	     0.000	        1	Delegate/Convert (NC, F32, QD8):78
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.720	    0.724	  0.664%	 56.519%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:79
	                  Convert (NC, F32, QD8)	    0.156	    0.151	  0.138%	 56.658%	     0.000	        1	Delegate/Convert (NC, F32, QD8):80
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.408	    0.407	  0.373%	 57.031%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:81
	                  Convert (NC, F32, QD8)	    0.018	    0.018	  0.017%	 57.048%	     0.000	        1	Delegate/Convert (NC, F32, QD8):82
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.480	    0.484	  0.444%	 57.492%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:83
	                  Convert (NC, F32, QD8)	    0.018	    0.018	  0.017%	 57.508%	     0.000	        1	Delegate/Convert (NC, F32, QD8):84
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.481	    0.483	  0.443%	 57.951%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:85
	                  Convert (NC, F32, QD8)	    0.018	    0.018	  0.017%	 57.968%	     0.000	        1	Delegate/Convert (NC, F32, QD8):86
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.488	    0.488	  0.448%	 58.415%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:87
	                  Convert (NC, F32, QD8)	    0.018	    0.018	  0.017%	 58.432%	     0.000	        1	Delegate/Convert (NC, F32, QD8):88
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.744	    0.742	  0.680%	 59.112%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:89
	                          Copy (NC, X32)	    0.144	    0.168	  0.154%	 59.266%	     0.000	        1	Delegate/Copy (NC, X32):90
	Average Pooling (NHWC, F32) Pixelwise Average Pooling	    0.200	    0.200	  0.183%	 59.450%	     0.000	        1	Delegate/Average Pooling (NHWC, F32) Pixelwise Average Pooling:91
	                  Convert (NC, F32, QD8)	    0.130	    0.132	  0.121%	 59.570%	     0.000	        1	Delegate/Convert (NC, F32, QD8):92
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.617	    0.617	  0.566%	 60.137%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:93
	                  Convert (NC, F32, QD8)	    0.175	    0.157	  0.144%	 60.280%	     0.000	        1	Delegate/Convert (NC, F32, QD8):94
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.617	    0.617	  0.566%	 60.846%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:95
	                  Convert (NC, F32, QD8)	    0.135	    0.134	  0.123%	 60.970%	     0.000	        1	Delegate/Convert (NC, F32, QD8):96
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.511	    0.515	  0.472%	 61.442%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:97
	                  Convert (NC, F32, QD8)	    0.022	    0.023	  0.021%	 61.463%	     0.000	        1	Delegate/Convert (NC, F32, QD8):98
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.742	    0.744	  0.682%	 62.145%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:99
	                  Convert (NC, F32, QD8)	    0.022	    0.022	  0.021%	 62.166%	     0.000	        1	Delegate/Convert (NC, F32, QD8):100
	Convolution (NHWC, QD8, F32, QC8W) IGEMM	    0.925	    0.913	  0.837%	 63.003%	     0.000	        1	Delegate/Convolution (NHWC, QD8, F32, QC8W) IGEMM:101
