INFO: STARTING!
INFO: Log parameter values verbosely: [0]
INFO: Min num runs: [10]
INFO: Num threads: [1]
INFO: Graph: [/home/jovyan/tflite_models/ResNet152.tflite]
INFO: Signature to run: []
INFO: Enable op profiling: [1]
INFO: #threads used for CPU inference: [1]
INFO: Loaded model /home/jovyan/tflite_models/ResNet152.tflite
INFO: The input model file size (MB): 240.571
INFO: Initialized session in 586.382ms.
INFO: Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
INFO: count=1 curr=697941 p5=697941 median=697941 p95=697941

INFO: Running benchmark for at least 10 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
INFO: count=10 first=687280 curr=683452 min=682607 max=687473 avg=684591 std=1609 p5=682607 median=684310 p95=687473

INFO: Inference timings in us: Init: 586382, First inference: 697941, Warmup (avg): 697941, Inference (avg): 684591
INFO: Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
INFO: Memory footprint delta from the start of the tool (MB): init=570.246 overall=571.746
INFO: Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	           Convolution (NHWC, F32) IGEMM	    6.314	    6.313	  0.922%	 26.946%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:60
	           Convolution (NHWC, F32) IGEMM	    1.458	    1.462	  0.214%	 27.159%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:61
	           Convolution (NHWC, F32) IGEMM	    6.422	    6.429	  0.939%	 28.099%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:62
	          Fully Connected (NC, F32) GEMM	    2.835	    2.841	  0.415%	 28.514%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:63
	                 Binary Elementwise (ND)	    0.156	    0.155	  0.023%	 28.537%	     0.000	        1	Delegate/Binary Elementwise (ND):64
	                  Unary Elementwise (NC)	    0.043	    0.044	  0.006%	 28.543%	     0.000	        1	Delegate/Unary Elementwise (NC):65
	          Fully Connected (NC, F32) GEMM	    2.792	    2.803	  0.410%	 28.953%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:66
	           Convolution (NHWC, F32) IGEMM	    6.968	    6.956	  1.016%	 29.969%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:67
	          Fully Connected (NC, F32) GEMM	    2.839	    2.833	  0.414%	 30.383%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:68
	                 Binary Elementwise (ND)	    0.115	    0.118	  0.017%	 30.400%	     0.000	        1	Delegate/Binary Elementwise (ND):69
	                  Unary Elementwise (NC)	    0.053	    0.055	  0.008%	 30.408%	     0.000	        1	Delegate/Unary Elementwise (NC):70
	          Fully Connected (NC, F32) GEMM	    2.898	    2.843	  0.415%	 30.824%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:71
	           Convolution (NHWC, F32) IGEMM	    6.820	    6.905	  1.009%	 31.833%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:72
	          Fully Connected (NC, F32) GEMM	    2.838	    2.861	  0.418%	 32.251%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:73
	                 Binary Elementwise (ND)	    0.135	    0.154	  0.023%	 32.273%	     0.000	        1	Delegate/Binary Elementwise (ND):74
	                  Unary Elementwise (NC)	    0.055	    0.060	  0.009%	 32.282%	     0.000	        1	Delegate/Unary Elementwise (NC):75
	          Fully Connected (NC, F32) GEMM	    2.843	    2.834	  0.414%	 32.696%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:76
	           Convolution (NHWC, F32) IGEMM	    6.768	    6.755	  0.987%	 33.683%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:77
	          Fully Connected (NC, F32) GEMM	    2.873	    2.865	  0.419%	 34.102%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:78
	                 Binary Elementwise (ND)	    0.189	    0.162	  0.024%	 34.126%	     0.000	        1	Delegate/Binary Elementwise (ND):79
	                  Unary Elementwise (NC)	    0.072	    0.065	  0.009%	 34.135%	     0.000	        1	Delegate/Unary Elementwise (NC):80
	          Fully Connected (NC, F32) GEMM	    2.833	    2.836	  0.414%	 34.549%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:81
	           Convolution (NHWC, F32) IGEMM	    6.739	    6.775	  0.990%	 35.539%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:82
	          Fully Connected (NC, F32) GEMM	    2.816	    2.831	  0.414%	 35.953%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:83
	                 Binary Elementwise (ND)	    0.113	    0.124	  0.018%	 35.971%	     0.000	        1	Delegate/Binary Elementwise (ND):84
	                  Unary Elementwise (NC)	    0.053	    0.056	  0.008%	 35.979%	     0.000	        1	Delegate/Unary Elementwise (NC):85
	          Fully Connected (NC, F32) GEMM	    2.832	    2.826	  0.413%	 36.392%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:86
	           Convolution (NHWC, F32) IGEMM	    6.794	    6.806	  0.994%	 37.387%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:87
	          Fully Connected (NC, F32) GEMM	    2.829	    2.830	  0.414%	 37.800%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:88
	                 Binary Elementwise (ND)	    0.124	    0.133	  0.019%	 37.820%	     0.000	        1	Delegate/Binary Elementwise (ND):89
	                  Unary Elementwise (NC)	    0.054	    0.056	  0.008%	 37.828%	     0.000	        1	Delegate/Unary Elementwise (NC):90
	          Fully Connected (NC, F32) GEMM	    2.819	    2.830	  0.414%	 38.241%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:91
	           Convolution (NHWC, F32) IGEMM	    6.788	    6.775	  0.990%	 39.231%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:92
	          Fully Connected (NC, F32) GEMM	    2.834	    2.834	  0.414%	 39.645%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:93
	                 Binary Elementwise (ND)	    0.136	    0.141	  0.021%	 39.666%	     0.000	        1	Delegate/Binary Elementwise (ND):94
	                  Unary Elementwise (NC)	    0.053	    0.056	  0.008%	 39.674%	     0.000	        1	Delegate/Unary Elementwise (NC):95
	          Fully Connected (NC, F32) GEMM	    2.830	    2.844	  0.416%	 40.090%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:96
	           Convolution (NHWC, F32) IGEMM	    6.828	    6.794	  0.993%	 41.083%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:97
	          Fully Connected (NC, F32) GEMM	    2.827	    2.827	  0.413%	 41.496%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:98
	                 Binary Elementwise (ND)	    0.120	    0.123	  0.018%	 41.514%	     0.000	        1	Delegate/Binary Elementwise (ND):99
	                  Unary Elementwise (NC)	    0.053	    0.054	  0.008%	 41.521%	     0.000	        1	Delegate/Unary Elementwise (NC):100
